,점포명,제품군,판매량(int)
39,(1410)E/T킨텍스점,B Type,2301
616,(2636)평내점,C Type,2276
1891,(L18)탄현동점,C Type,2271
778,(300)동광주점,C Type,2260
1503,(934)서귀포점,B Type,2258
622,(2638)송도호반점,C Type,2249
1861,(L06)팜스프링점,C Type,2245
1410,(650)명일점,B Type,2239
544,(2526)의정부민락점,C Type,2230
1632,(979)마포공덕점,B Type,2207
1765,(K48)답십리점,C Type,2206
1405,(633)수서점,C Type,2206
61,(1418)E/T스타필드부천점,C Type,2177
68,(150)E/T구성점,S Type,2174
1542,(947)동탄점,B Type,2174
49,(1414)E/T군포점,C Type,2167
1617,(974)가든5점,B Type,2166
1513,(937)익산점,C Type,2162
1588,(963)수색점,C Type,2155
706,(2674)동탄호수점,C Type,2151
1355,(470)성수점,S Type,2147
1356,(480)월배점,B Type,2140
801,(380)가양점,B Type,2122
610,(2633)시흥배곧점,C Type,2114
54,(1416)E/T스타필드위례점,B Type,2111
1353,(470)성수점,B Type,2097
59,(1417)E/T월계점,S Type,2092
1474,(870)양재점,C Type,2046
1573,(958)이문점,C Type,2038
1888,(L17)영북점,C Type,2037
1464,(840)월계점,B Type,2034
1544,(947)동탄점,S Type,2022
51,(1415)E/T김포점,B Type,2021
1843,(K98)양재점,C Type,2018
721,(2741)F영주가흥점,C Type,2013
1399,(630)구미점,C Type,1999
556,(2533)천안차암점,C Type,1999
1897,(L21)위시티점,C Type,1997
385,(184)감삼점,C Type,1983
1864,(L07)봉일천점,C Type,1975
613,(2635)대구옥포점,C Type,1960
1684,(K01)흑석동점,C Type,1960
52,(1415)E/T김포점,C Type,1951
1619,(974)가든5점,S Type,1951
1466,(840)월계점,S Type,1946
1624,(976)펜타포트점,C Type,1942
1638,(981)하월곡점,B Type,1935
1579,(960)흥덕점,C Type,1900
1711,(K11)사당동점,C Type,1897
1581,(961)영등포점,B Type,1897
1531,(943)상주점,C Type,1892
1804,(K75)분당정자점,C Type,1883
1720,(K17)하안동점,C Type,1878
81,(155)E/T안산점,B Type,1875
565,(2536)홍성내포점,C Type,1864
742,(2761)F김포구래점,C Type,1856
1810,(K77)덕정점,C Type,1852
1690,(K04)매탄동점,C Type,1831
1678,(A19)화곡동점,C Type,1827
1430,(720)수지점,S Type,1824
78,(154)E/T비산점,B Type,1820
1412,(650)명일점,S Type,1820
38,(1409)E/T수원점,S Type,1813
1729,(K24)창동점,C Type,1805
1506,(935)경산점,B Type,1801
487,(2331)구미구평점,C Type,1797
511,(2421)고양삼송점,C Type,1778
1612,(972)사천점,C Type,1776
55,(1416)E/T스타필드위례점,C Type,1769
44,(1412)E/T스타필드하남점,S Type,1763
1386,(600)안양점,B Type,1760
553,(2530)아산장재점,C Type,1759
46,(1413)E/T스타필드고양점,C Type,1757
1909,(L36)병점점,C Type,1755
1373,(550)은평점,S Type,1746
460,(2235)마전점,C Type,1734
1467,(850)용산점,B Type,1728
1440,(760)울산점,B Type,1713
589,(2625)이천갈산점,C Type,1712
47,(1413)E/T스타필드고양점,S Type,1712
1407,(640)창원점,B Type,1699
766,(2771)F세류점,C Type,1698
1870,(L09)통진점,C Type,1698
1798,(K73)서창동점,C Type,1692
1505,(934)서귀포점,S Type,1689
1586,(962)경기광주점,S Type,1687
1570,(956)보라점,C Type,1686
1849,(L01)광탄점,C Type,1685
375,(181)중동점,B Type,1681
12,(1158)세종점,B Type,1676
1413,(660)연수점,B Type,1667
1786,(K67)중계동점,C Type,1652
640,(2648)신곡풍림점,C Type,1651
14,(1158)세종점,S Type,1639
1924,(L46)용호점,C Type,1632
661,(2657)오포신현2점,C Type,1627
8,(1156)풍산점,S Type,1615
1388,(600)안양점,S Type,1615
679,(2663)홍성남장점,C Type,1602
1634,(979)마포공덕점,S Type,1593
40,(1410)E/T킨텍스점,C Type,1591
535,(2523)신곡점,C Type,1586
1672,(A12)암사동점,C Type,1583
1488,(920)서수원점,B Type,1572
20,(1160)광교점,S Type,1564
448,(2227)경서점,C Type,1562
772,(2890)용방점,C Type,1561
804,(390)해운대점,B Type,1561
1801,(K74)삼숭동점,C Type,1558
1750,(K37)형곡동점,C Type,1552
649,(2651)오포신현점,C Type,1540
586,(2624)나주호수공원점,C Type,1538
6,(1156)풍산점,B Type,1535
1771,(K51)방촌동점,C Type,1520
1795,(K71)청천동점,C Type,1515
1822,(K82)고촌점,C Type,1512
1876,(L11)신읍동점,C Type,1510
1840,(K96)구미옥계점,C Type,1497
1873,(L10)녹양동점,C Type,1496
763,(2770)F불로점,C Type,1494
1657,(A04)봉천동점,C Type,1490
451,(2229)장현점,C Type,1477
1428,(720)수지점,B Type,1475
84,(156)E/T천안점,B Type,1467
562,(2535)나주혁신점,C Type,1467
658,(2655)세종다정점,C Type,1461
1666,(A08)쌍문동점,C Type,1455
1780,(K63)광사동점,C Type,1450
1577,(959)목동점,S Type,1444
625,(2640)세종중흥점,C Type,1434
523,(2426)고양삼송2점,C Type,1429
803,(380)가양점,S Type,1429
724,(2743)F대구신서점,C Type,1429
1825,(K86)연수점,C Type,1428
1813,(K79)신영통점,C Type,1424
1469,(850)용산점,S Type,1419
378,(182)계양점,B Type,1411
1837,(K95)가운점,C Type,1404
1723,(K19)보령점,C Type,1396
1705,(K09)올림픽점,C Type,1396
427,(2129)아산배방점,C Type,1389
1744,(K33)공릉동점,C Type,1375
1434,(740)속초점,B Type,1374
1526,(941)자양점,S Type,1369
499,(2336)양산물금점,C Type,1367
1415,(660)연수점,S Type,1365
1556,(951)청계천점,S Type,1364
1858,(L04)관산동점,C Type,1361
751,(2764)F오션시티점,C Type,1358
1458,(820)파주점,B Type,1344
412,(2033)죽전점,C Type,1344
406,(2031)상계점,C Type,1341
530,(250)분당점,S Type,1337
508,(2420)탄현역점,C Type,1329
1215,(450)만촌점,B Type,1328
541,(2525)의정부장암점,C Type,1328
1358,(480)월배점,S Type,1327
1774,(K52)법동점,C Type,1314
592,(2627)북천안점,C Type,1308
33,(1408)E/T양산점,B Type,1308
1447,(780)영천점,C Type,1307
22,(1161)과천점,C Type,1307
445,(2224)풍무2점,C Type,1306
601,(2630)대구현풍점,C Type,1303
1651,(A02)대방동점,C Type,1301
439,(2137)아산공수점,C Type,1298
1368,(540)평택점,B Type,1298
727,(2746)F금곡점,C Type,1286
478,(2326)정관점,C Type,1281
504,(240)제주점,B Type,1275
1816,(K80)남부터미널,C Type,1268
682,(2664)세종신동아점,C Type,1261
1359,(490)천안점,B Type,1260
634,(2644)세종메이저점,C Type,1258
1885,(L16)마북동점,C Type,1251
41,(1410)E/T킨텍스점,S Type,1247
1855,(L03)백석점,C Type,1247
397,(2028)우면점,C Type,1246
493,(2333)서천점,C Type,1243
754,(2765)F영흥도점,C Type,1243
0,(1154)의정부점,B Type,1236
670,(2660)창원사림점,C Type,1234
1708,(K10)성북동점,C Type,1231
1906,(L35)성대점,C Type,1229
1371,(550)은평점,B Type,1218
1559,(952)왕십리점,S Type,1214
733,(2753)F석수점,C Type,1210
1380,(580)연제점,B Type,1209
56,(1416)E/T스타필드위례점,S Type,1208
15,(1159)킨텍스점,B Type,1206
655,(2653)부산구포점,C Type,1200
730,(2747)F산본점,C Type,1195
9,(1157)김포한강점,B Type,1189
1687,(K02)명일동점,C Type,1178
676,(2662)평택비전점,C Type,1177
1912,(L38)율전점,C Type,1174
1496,(931)남양주점,S Type,1173
1546,(948)여의도점,C Type,1168
1819,(K81)율하점,C Type,1167
580,(2621)세종가락점,C Type,1166
369,(175)역삼점,B Type,1157
757,(2766)F귤현점,C Type,1156
484,(2330)서판교점,C Type,1155
1583,(961)영등포점,S Type,1152
1660,(A05)서초동점,C Type,1148
1759,(K41)하양점,C Type,1141
1648,(A01)상도동점,C Type,1135
463,(2321)분당정자2,C Type,1118
1436,(740)속초점,S Type,1105
631,(2643)마곡점,C Type,1099
433,(2135)세종종촌점,C Type,1091
559,(2534)세종도담점,C Type,1088
1511,(936)동백점,S Type,1078
383,(183)평촌점,S Type,1078
1593,(966)성남점,B Type,1071
1427,(710)금정점,S Type,1071
697,(2671)대구서재점,C Type,1069
673,(2661)마두역점,C Type,1063
18,(1160)광교점,B Type,1061
1640,(981)하월곡점,S Type,1058
1442,(760)울산점,S Type,1056
371,(175)역삼점,S Type,1052
528,(250)분당점,B Type,1047
604,(2631)하남미사점,C Type,1044
475,(2325)오포점,C Type,1040
1699,(K07)비산동점,C Type,1035
1654,(A03)가락동점,C Type,1028
1362,(520)수원점,B Type,1017
50,(1414)E/T군포점,S Type,1016
1599,(968)광명소하점,B Type,1009
1620,(975)파주운정점,B Type,1009
1595,(966)성남점,S Type,1001
377,(181)중동점,S Type,999
637,(2646)세종이지더원점,C Type,990
1460,(820)파주점,S Type,983
574,(2619)구미봉곡점,C Type,980
71,(151)E/T송림점,S Type,976
1735,(K28)상현동점,C Type,975
520,(2425)김포양곡점,C Type,971
739,(2757)F양천향교역점,C Type,970
403,(2030)구로점,C Type,966
1524,(941)자양점,B Type,964
502,(2337)대구죽곡점,C Type,963
517,(2424)고촌2점,C Type,960
1831,(K90)포항연일점,C Type,958
415,(2034)신내점,C Type,952
795,(360)산본점,B Type,947
1702,(K08)가양동점,C Type,945
1807,(K76)개포점,C Type,939
700,(2672)김해율하2점,C Type,939
628,(2642)세종캐슬점,C Type,936
1538,(945)신도림점,S Type,934
64,(1419)E/T스타필드명지점,C Type,931
577,(2620)관저효성점,C Type,928
1918,(L40)검암점,C Type,921
472,(2324)영통점,C Type,918
11,(1157)김포한강점,S Type,917
797,(360)산본점,S Type,916
34,(1408)E/T양산점,C Type,909
595,(2628)세종고운점,C Type,908
715,(2738)F포항학천점,C Type,907
469,(2323)망포점,C Type,907
62,(1418)E/T스타필드부천점,S Type,902
1374,(560)여수점,B Type,896
607,(2632)구리갈매점,C Type,892
1554,(951)청계천점,B Type,889
514,(2423)김포한강점,C Type,886
1422,(700)문현점,B Type,882
1783,(K66)봉담2호점,C Type,880
1395,(620)둔산점,B Type,879
1425,(710)금정점,B Type,876
420,(210)일산점,B Type,873
598,(2629)세종소담점,C Type,872
1508,(935)경산점,S Type,866
442,(2139)대전월평점,C Type,866
1675,(A16)풍무동점,C Type,856
1629,(978)동구미점,B Type,847
583,(2622)자곡점,C Type,840
806,(390)해운대점,S Type,835
30,(1164)광주점,B Type,833
1370,(540)평택점,S Type,825
53,(1415)E/T김포점,S Type,823
481,(2328)보정점,C Type,819
1548,(949)도농점,B Type,813
760,(2769)F양산덕계점,C Type,812
1578,(960)흥덕점,B Type,812
400,(2029)목동중앙점,C Type,811
1477,(880)인천공항점,C Type,809
703,(2673)당진점,C Type,803
1900,(L23)걸포동점,C Type,800
466,(2322)기흥점,C Type,797
807,(400)상봉점,B Type,795
1376,(560)여수점,S Type,794
1635,(980)서산점,B Type,794
1497,(932)오산점,B Type,791
381,(183)평촌점,B Type,790
1644,(984)천안서북점,B Type,787
1551,(950)하남점,B Type,786
1646,(984)천안서북점,S Type,786
694,(2669)성내점,C Type,781
685,(2666)미사퀸즈점,C Type,781
1419,(690)고잔점,B Type,778
1515,(938)검단점,B Type,777
1433,(730)신제주점,S Type,765
532,(2522)삼숭2점,C Type,765
77,(153)E/T서면점,S Type,765
1663,(A07)미아동점,C Type,763
789,(340)구로점,B Type,760
1217,(450)만촌점,S Type,760
1536,(945)신도림점,B Type,760
550,(2529)세종아름점,C Type,759
745,(2762)F경주용강점,C Type,756
619,(2637)세곡점,C Type,753
643,(2649)양산석산점,C Type,749
372,(177)화정점,B Type,749
1394,(610)부천점,S Type,748
1482,(900)순천점,B Type,745
506,(240)제주점,S Type,741
1383,(590)칠성점,B Type,739
1389,(601)시화점,B Type,738
1437,(750)사상점,B Type,738
1693,(K05)목동점,C Type,732
688,(2667)부천옥길점,C Type,731
1533,(944)봉선점,B Type,728
390,(186)이동점,B Type,728
646,(2650)천안불당점,C Type,721
1364,(520)수원점,S Type,720
1535,(944)봉선점,S Type,716
1726,(K20)행신동점,C Type,710
1557,(952)왕십리점,B Type,709
1490,(920)서수원점,S Type,707
1696,(K06)이매동점,C Type,706
782,(310)청주점,S Type,702
74,(152)E/T월평점,S Type,697
748,(2763)F창원북면점,C Type,694
1563,(954)안성점,B Type,681
457,(2232)호구포역점,C Type,677
490,(2332)부산신호점,C Type,674
1641,(983)화성봉담점,B Type,673
1550,(949)도농점,S Type,672
792,(350)성서점,B Type,665
1590,(964)제천점,B Type,663
1409,(640)창원점,S Type,661
436,(2136)대전관저점,C Type,659
1416,(680)강릉점,B Type,658
65,(1419)E/T스타필드명지점,S Type,658
1547,(948)여의도점,S Type,653
783,(320)전주점,B Type,652
1443,(770)동해점,B Type,643
1485,(910)춘천점,B Type,642
1449,(790)광산점,B Type,639
1022,(410)이천점,S Type,635
1494,(931)남양주점,B Type,631
3,(1155)별내점,B Type,628
547,(2527)별내점,C Type,624
785,(320)전주점,S Type,624
1475,(870)양재점,S Type,617
1397,(620)둔산점,S Type,616
1479,(890)통영점,B Type,612
86,(156)E/T천안점,S Type,611
1385,(590)칠성점,S Type,601
1382,(580)연제점,S Type,600
1377,(570)포항점,B Type,600
1500,(933)용인점,B Type,599
1681,(A23)장기동점,C Type,598
1499,(932)오산점,S Type,593
538,(2524)남양주도곡점,C Type,591
1631,(978)동구미점,S Type,589
17,(1159)킨텍스점,S Type,585
395,(200)창동점,S Type,582
1502,(933)용인점,S Type,581
83,(155)E/T안산점,S Type,581
1661,(A05)서초동점,S Type,580
387,(185)마산점,B Type,580
526,(2427)신동백점,C Type,579
1350,(460)군산점,B Type,575
1472,(860)안동점,S Type,572
1487,(910)춘천점,S Type,571
24,(1162)김해터미널점,B Type,563
1421,(690)고잔점,S Type,561
1367,(530)충주점,S Type,559
1484,(900)순천점,S Type,559
5,(1155)별내점,S Type,555
1418,(680)강릉점,S Type,554
1361,(490)천안점,S Type,550
798,(370)천호점,B Type,549
1587,(963)수색점,B Type,543
1626,(977)대전터미널,B Type,543
1020,(410)이천점,B Type,538
1569,(956)보라점,B Type,533
1461,(830)반야월점,B Type,526
389,(185)마산점,S Type,526
1406,(633)수서점,S Type,525
1622,(975)파주운정점,S Type,525
355,(1702)PK청담점,C Type,523
1602,(969)천안터미널,B Type,521
1517,(938)검단점,S Type,521
1457,(810)양산점,S Type,521
712,(2735)F보령신흑점,C Type,518
1685,(K01)흑석동점,S Type,518
380,(182)계양점,S Type,517
430,(2133)천안성거점,C Type,512
736,(2756)F능평점,C Type,507
1455,(810)양산점,B Type,499
374,(177)화정점,S Type,495
1571,(956)보라점,S Type,494
1706,(K09)올림픽점,S Type,487
1608,(971)진접점,B Type,481
32,(1164)광주점,S Type,480
1401,(631)신월점,B Type,479
809,(400)상봉점,S Type,475
1601,(968)광명소하점,S Type,473
707,(2674)동탄호수점,S Type,472
392,(186)이동점,S Type,470
80,(154)E/T비산점,S Type,467
1424,(700)문현점,S Type,466
667,(2659)역삼점,C Type,463
1452,(800)양주점,B Type,461
1431,(730)신제주점,B Type,457
1445,(770)동해점,S Type,456
691,(2668)명지SF점,C Type,451
1625,(976)펜타포트점,S Type,450
1365,(530)충주점,B Type,449
1607,(970)이수점,S Type,441
2,(1154)의정부점,S Type,434
1473,(870)양재점,B Type,434
571,(2618)동천점,C Type,428
23,(1161)과천점,S Type,427
393,(200)창동점,B Type,421
794,(350)성서점,S Type,421
422,(210)일산점,S Type,417
1518,(939)아산점,B Type,414
1539,(946)여주점,B Type,410
623,(2638)송도호반점,S Type,407
1545,(948)여의도점,B Type,406
1212,(440)동인천점,B Type,403
361,(1705)PK마켓SF고양점,C Type,403
1637,(980)서산점,S Type,401
791,(340)구로점,S Type,400
27,(1163)의왕점,B Type,397
1643,(983)화성봉담점,S Type,386
1379,(570)포항점,S Type,381
1439,(750)사상점,S Type,379
418,(2035)내곡점,C Type,379
1553,(950)하남점,S Type,375
1208,(420)진주점,S Type,373
800,(370)천호점,S Type,372
1560,(953)보령점,B Type,368
455,(2231)서창2점,S Type,367
1481,(890)통영점,S Type,364
413,(2033)죽전점,S Type,363
1338,(4542)NBFC 충주호암,B Type,361
1767,(K50)번동점,B Type,360
788,(330)원주점,S Type,357
1605,(970)이수점,B Type,354
26,(1162)김해터미널점,S Type,353
1592,(964)제천점,S Type,352
409,(2032)방배효령점,C Type,350
200,(1643)NB수원망포점,S Type,342
1521,(940)태백점,B Type,341
1628,(977)대전터미널,S Type,335
1623,(976)펜타포트점,B Type,331
1512,(937)익산점,B Type,330
1211,(430)목포점,S Type,329
453,(2231)서창2점,B Type,328
144,(1622)NB남양주화도점,B Type,327
1580,(960)흥덕점,S Type,327
1520,(939)아산점,S Type,325
1470,(860)안동점,B Type,324
1565,(954)안성점,S Type,323
1584,(962)경기광주점,B Type,322
1596,(967)포천점,B Type,316
1746,(K35)성주점,B Type,310
1611,(972)사천점,B Type,302
1589,(963)수색점,S Type,296
1604,(969)천안터미널,S Type,292
356,(1702)PK청담점,S Type,290
1568,(955)미아점,S Type,290
632,(2643)마곡점,S Type,279
1694,(K05)목동점,S Type,277
1404,(633)수서점,B Type,275
756,(2766)F귤현점,B Type,275
786,(330)원주점,B Type,275
615,(2636)평내점,B Type,275
496,(2335)김천혁신점,C Type,271
1088,(4127)NBR성남여수점,S Type,271
237,(1660)NB천안신방점,B Type,271
718,(2739)F포항양덕점,C Type,269
1614,(973)묵동점,B Type,267
1669,(A09)삼성동점,C Type,262
1833,(K93)동양점,B Type,259
425,(2127)도봉점,S Type,259
359,(1704)PK마켓SF하남점,S Type,257
1068,(4121)NBR평택용이점,B Type,256
1740,(K31)개봉동점,B Type,255
1463,(830)반야월점,S Type,255
663,(2658)김해율하점,B Type,254
1902,(L27)통일동산점,B Type,252
434,(2135)세종종촌점,S Type,250
1769,(K50)번동점,S Type,250
1878,(L12)일산2호점,B Type,250
482,(2328)보정점,S Type,249
1649,(A01)상도동점,S Type,248
1736,(K28)상현동점,S Type,247
35,(1408)E/T양산점,S Type,247
473,(2324)영통점,S Type,246
249,(1664)NB천안불당점,B Type,245
633,(2644)세종메이저점,B Type,244
494,(2333)서천점,S Type,243
540,(2525)의정부장암점,B Type,242
705,(2674)동탄호수점,B Type,241
1835,(K93)동양점,S Type,241
515,(2423)김포한강점,S Type,240
423,(2127)도봉점,B Type,240
1904,(L27)통일동산점,S Type,239
731,(2747)F산본점,S Type,239
29,(1163)의왕점,S Type,238
198,(1643)NB수원망포점,B Type,238
1206,(420)진주점,B Type,236
1923,(L46)용호점,B Type,236
125,(1614)NB강남삼성점,S Type,236
410,(2032)방배효령점,S Type,235
1529,(942)광명점,S Type,234
1704,(K09)올림픽점,B Type,233
159,(1627)NB청주사천점,B Type,232
581,(2621)세종가락점,S Type,232
566,(2536)홍성내포점,S Type,231
1881,(L15)법원점,B Type,231
1616,(973)묵동점,S Type,230
279,(1674)NB원주단구점,B Type,229
1766,(K48)답십리점,S Type,226
579,(2621)세종가락점,B Type,226
1697,(K06)이매동점,S Type,223
1574,(958)이문점,S Type,221
1530,(943)상주점,B Type,219
398,(2028)우면점,S Type,219
1398,(630)구미점,B Type,217
1892,(L18)탄현동점,S Type,217
267,(1670)NB시흥목감점,B Type,217
1541,(946)여주점,S Type,216
498,(2336)양산물금점,B Type,216
143,(1621)NB용인동천점,S Type,215
177,(1633)NB수원천천점,B Type,215
564,(2536)홍성내포점,B Type,214
560,(2534)세종도담점,S Type,213
509,(2420)탄현역점,S Type,213
1677,(A19)화곡동점,B Type,213
665,(2658)김해율하점,S Type,212
1086,(4127)NBR성남여수점,B Type,210
1566,(955)미아점,B Type,210
659,(2655)세종다정점,S Type,210
1691,(K04)매탄동점,S Type,210
1209,(430)목포점,B Type,209
396,(2028)우면점,B Type,209
213,(1651)NB평택청북점,B Type,207
1824,(K86)연수점,B Type,206
426,(2129)아산배방점,B Type,204
1890,(L18)탄현동점,B Type,204
135,(1619)NB송파문정점,B Type,203
650,(2651)오포신현점,S Type,203
444,(2224)풍무2점,B Type,202
1476,(880)인천공항점,B Type,201
1884,(L16)마북동점,B Type,200
561,(2535)나주혁신점,B Type,200
1214,(440)동인천점,S Type,199
1728,(K24)창동점,B Type,199
740,(2757)F양천향교역점,S Type,198
617,(2636)평내점,S Type,198
171,(1631)NB고양풍동점,B Type,197
1454,(800)양주점,S Type,197
1764,(K48)답십리점,B Type,196
1893,(L19)광릉점,B Type,196
1451,(790)광산점,S Type,194
729,(2747)F산본점,B Type,194
609,(2633)시흥배곧점,B Type,194
284,(1675)NB영등포양평점,S Type,193
626,(2640)세종중흥점,S Type,191
477,(2326)정관점,B Type,189
1400,(630)구미점,S Type,189
1683,(K01)흑석동점,B Type,188
365,(1706)PKM STF위례점,S Type,188
774,(290)김천점,B Type,187
450,(2229)장현점,B Type,187
1752,(K38)김해점,B Type,186
170,(1630)NB판교운중점,S Type,185
1527,(942)광명점,B Type,185
1851,(L02)고양동점,B Type,183
858,(4019)NB화성진안점,B Type,183
364,(1706)PKM STF위례점,C Type,183
662,(2657)오포신현2점,S Type,182
1610,(971)진접점,S Type,181
709,(2710)F궁내점,C Type,180
123,(1614)NB강남삼성점,B Type,180
1848,(L01)광탄점,B Type,180
1721,(K17)하안동점,S Type,180
1886,(L16)마북동점,S Type,179
312,(1686)NB화성반송점,B Type,179
1391,(601)시화점,S Type,177
1742,(K31)개봉동점,S Type,176
137,(1619)NB송파문정점,S Type,176
638,(2646)세종이지더원점,S Type,176
507,(2420)탄현역점,B Type,176
683,(2664)세종신동아점,S Type,175
